ricker
AAPL
MSFT
GOOG
GOOGL
AMZN
BRK.B
XOM
UNH
V
JNJ
JPM
NVDA
WMT
TSLA
MA
META
PG
LLY
CVX
HD
MRK
BAC
ABBV
PFE
KO
AVGO
PEP
ORCL
TMO
COST
CSCO
NKE
DHR
MCD
ABT
ACN
TMUS
DIS
VZ
NEE
CMCSA
WFC
LIN
TXN
ADBE
UPS
PM
SCHW
MS
BMY
