ticker
AAP
ACGL
ACN
ADBE
ADP
ADSK
AFL
AJG
AKAM
ALL
AMAT
AMT
ANSS
AOS
APD
APTV
ARE
AVB
AWK
AXP
AZO
BALL
BBWI
BBY
BEN
BR
BRO
BWA
BXP
CBRE
CCI
CDNS
CHRW
CI
CME
CMS
CNP
COP
CRM
CSCO
CSX
CTSH
DE
DGX
DLR
DLTR
DOV
DVN
DXC
EA
EBAY
ED
ELV
EOG
EQIX
EQR
EQT
ES
ESS
EXPD
FCX
FDX
FITB
FLT
FRT
GEN
GL
GPC
GWW
HAL
HAS
HD
HES
HIG
HST
HSY
IBM
ICE
INTC
INTU
IPG
ITW
JBHT
JCI
JKHY
KEY
KIM
KLAC
KMI
KMX
KR
L
LKQ
LNC
LNT
LOW
LRCX
MA
MAR
MCK
MCO
MET
MHK
MKC
MMC
MPC
MSCI
MSFT
MSI
MTD
MU
NDAQ
NEM
NOW
NSC
NTAP
NUE
NVDA
NWSA
OKE
ORCL
ORLY
PAYX
PEG
PFG
PGR
PLD
PNC
PNR
PRU
PSA
PXD
QCOM
RCL
RE
REG
RF
RHI
RL
ROK
ROST
SBAC
SLB
SNPS
SPGI
SRE
STLD
STX
SYY
T
TEL
TER
TGT
TJX
TPR
TRMB
TROW
TRV
TSCO
TT
TXN
UDR
ULTA
UPS
URI
V
VFC
VMC
VZ
WAB
WAT
WBA
WDC
WEC
WELL
WHR
WMB
WTW
WY
XEL
XYL
YUM
