ticker
AAL
AAPL
AEE
AES
AIG
AIZ
AME
AMP
AMZN
APA
APH
ATO
ATVI
AVGO
BAC
BG
BK
BKNG
BLK
C
CAG
CAT
CB
CBOE
CCL
CF
CHTR
CINF
CMA
CMCSA
CMG
COF
COST
CPRT
CPT
CSGP
CTAS
CTRA
CVS
DAL
DFS
DG
DHI
DIS
DISH
DPZ
DRI
DTE
DVA
EFX
EMR
ETR
EXPE
EXR
F
FAST
FDS
FE
FFIV
FIS
FISV
FRC
FTNT
GM
GOOGL
GPN
GRMN
GS
HRL
HUM
IEX
IP
IRM
IT
IVZ
JNPR
JPM
LEN
LUV
MAA
MAS
MCD
MCHP
META
MGM
MLM
MNST
MOS
MRO
MS
MTB
NCLH
NDSN
NFLX
NI
NKE
NRG
NTRS
NXPI
O
OMC
ON
OXY
PCAR
PH
PHM
PKG
PNW
PSX
PTC
PWR
RJF
ROL
ROP
RSG
SBUX
SCHW
SEE
SJM
SNA
SPG
STT
SWK
SWKS
TDG
TMUS
TRGP
TSLA
TSN
UAL
UNP
USB
VLO
VRSK
VRSN
WFC
WM
WMT
WRB
WYNN
